,name,count
395,"무장아찌,무초절임",239
371,두부국,235
248,국수,234
490,"된장찌개,해물",232
494,고디국(다슬기맑은국),231
226,"매운탕,조기",231
504,방풍나물(대표),227
261,조개국(조개탕),224
480,두부전,224
599,"콩나물국,고추",224
362,"제육,돼지고기",223
330,"묵무침,도토리묵(묵만)",222
448,"삼치조림,방어조림",222
491,가죽나물,221
254,돌나물,221
418,만두국,220
293,"미역국,조개",219
348,"조개젓,양념",215
333,오곡밥,213
266,"매운탕,메기",210
337,"감자,찐감자,구운감자",210
291,"죽,팥죽",209
317,달래무침,209
331,기름장,205
485,소세지볶음,203
409,감자전,199
400,오이소박이,198
452,감자수제비,198
406,배추,198
468,닭발볶음,198
309,회무침,197
382,"빵,단팥빵",196
398,"옥수수,찐옥수수,군옥수수",189
369,"된장찌개,달래",189
562,"달걀찜,채소",188
412,삼겹살구이,187
486,"라면,컵라면",186
456,쑥갓나물,186
318,오이나물,186
389,브로콜리,186
324,병어조림,185
356,"미역국,굴",185
442,샌드위치,181
365,차조밥,181
346,"냉국,미역,오이(미역오이만)",180
380,"대구찜,민어찜",177
413,"명란젓,양념",177
342,딸기,176
543,생선초밥,176
402,물회,175
387,"떡,인절미",175
370,"갈치조림,감자",173
474,고추볶음,169
565,"파전,해물",169
608,"콩조림,콩자반(강낭콩포함)",169
344,"냉국,미역",168
349,"죽,쌀죽(흰죽)",167
439,북어조림,166
367,고들빼기김치,165
388,"빵,식빵",165
541,"초밥,연어",165
385,해초무침,160
391,양파볶음,160
483,밤,157
328,게조림,156
410,"오징어젓,양념",156
435,스넥과자,156
397,단무지무침,155
460,"초밥,새우",154
453,맥주,154
396,다시마무침,151
514,우엉볶음,148
612,"양념장,밥비빔용",148
571,고등어구이 (기름사용안함),147
378,북어찜,144
470,팥빙수,143
360,꽁치구이,143
438,백김치,142
392,"멸치,마른것",142
394,자두,141
419,"보리차, 옥수수차, 옥수수수염차",140
531,"소고기볶음,채소",140
422,율무차,139
489,부추나물,139
446,"떡,절편,감자떡",139
376,임연수구이,138
407,버섯전,137
286,닭곰탕(닭국),137
463,마늘쫑장아찌,137
363,"겉절이,열무",137
347,"김치찌개,햄",135
499,"콩나물무침,당근,고춧가루",134
492,치즈,132
589,매생이국,132
424,생강차,132
285,모듬회,131
377,닭튀김,130
323,사과주스,129
341,도미구이,128
552,"만두,김치만두",128
417,깨,128
529,"죽,녹두죽",127
434,오이피클,127
359,"매운탕,도미",127
393,"바나나주스, 바나나음료",126
416,팥밥,125
467,곤드레밥,124
462,"겉절이,양배추",123
601,"멸치젓,양념",122
450,도가니탕,121
610,"콩밥,완두콩",121
482,"칼국수,팥칼국수",119
520,시리얼,118
476,무말랭이장아찌,117
549,"냉국,미역,오이,고추",115
408,"샌드위치,채소",114
436,"죽,잡곡죽",114
437,"떡,시루떡",114
469,번데기조림,113
459,사이다,113
454,빙과류,112
433,녹차,112
603,"국수,막국수",112
495,두부,112
386,무조림,111
390,"떡,백설기",109
440,쨈,109
569,재첩국,107
449,식혜,107
516,"콩나물무침,당근,고춧가루제외",105
421,후추,104
414,양배추김치,104
425,인삼주스,102
458,참기름,100
695,햄버거,100
481,캐슈넛,98
524,키위,97
429,"낙지젓,양념",96
487,아이스크림,96
471,김튀김,94
527,카스테라,94
613,"스테이크,등심",94
488,쿠키,94
403,매실(우메보시),93
404,"곰탕,꼬리",92
580,당근,92
431,"죽,오리죽",92
461,"국수,열무김치",92
508,춘장,92
334,"조기구이,양념,조기조림",91
464,비타민음료,90
522,양파즙,90
588,쥐포무침,90
509,"빵,크림빵",90
357,오징어찌개,89
592,"국밥,돼지(머리)",88
576,"미역국,멸치",87
521,꿀,87
423,두릅,87
660,스크램블드에그,86
537,"한과,강정",86
581,"북어구이,양념",85
560,호박잎,85
500,콜라,85
511,"떡,모듬찰떡",84
600,"된장찌개,바지락",84
554,배추전,82
497,고구마튀김,82
477,크래커,80
447,새우튀김,80
564,"볶음밥,계란",79
528,"떡,송편",79
525,생선까스,79
517,마즙,78
493,"어리굴젓,양념",77
550,돼지고기구이,75
519,"옥수수,강냉이",75
631,당근볶음,74
475,기장밥,74
585,"라면,김치",71
539,굴국,71
626,고추장볶음,70
538,"감,곶감",69
598,"라면,자장면",69
604,김,68
674,삼치구이,68
577,콩,67
473,굴비구이,66
547,오렌지주스,66
546,"떡,가래떡",65
518,생미역,65
568,케이크,65
484,매실액,64
623,센베이,64
617,조기구이 (기름사용안함),63
510,잣,61
507,블루베리,60
536,포도주스,60
496,들기름,59
498,사과당근주스,59
561,초간장,57
444,"물김치,돌나물",57
503,"커피,캔커피",57
578,"국밥,순대국밥",56
455,오징어튀김,55
472,대추,55
637,호박,54
559,건빵,54
501,쑥갓,53
556,주먹밥,53
553,설탕,53
457,"튀각,다시마",53
523,"만두,군만두",52
534,"겨자소스,머스타드소스",52
567,"창란젓,양념",52
619,다시마,52
465,튀긴쌀(튀밥),51
596,프렌치토스트,51
679,수수밥,51
662,적어구이,50
513,콩국,50
659,산초가루,49
583,"빵,모닝빵",48
405,"닭튀김,다리",48
515,"갈치젓,양념",48
602,기타보신식품,47
611,족발,46
526,크린베리,46
633,묵,46
587,"찐빵(호빵),국화빵",44
643,부추,43
570,오징어,43
614,쌀과자,42
530,유자차,42
540,껌,42
574,와사비,42
686,토마토케찹,40
615,고추다대기,40
505,"라면,만두",40
645,호박씨,40
535,식초음료,39
545,"배,넥타",39
609,"포도,건포도",38
672,"떡,약식",38
620,"떡,증편",37
661,머위,35
573,"빵,식빵,토스트",35
557,런천미트구이,35
584,인삼차,35
689,"라면,비빔면",35
692,웨하스,35
586,꿀차,34
622,마카디미아,34
628,마요네즈,34
641,멜론,33
555,젤리,33
665,순대,32
563,"한과,산자",32
667,꽈배기,32
668,무,32
595,"빵,곰보빵(소보로빵)",32
621,"떡,찹쌀떡(팥속)",32
697,"소스,고기용",31
681,생강,31
572,"빵,호밀빵",31
590,식초,31
542,호박차,30
658,무짠지,30
634,은행,30
680,해바라기씨,30
688,"크래커,샌드",30
629,피칸,29
625,"광어,넙치",29
544,뻥튀기,29
618,콜라비,29
579,"닭튀김,날개",29
591,홍어,29
652,갈치구이(기름사용안함),28
