,음식코드명
"황태국,황태만",132
"된장국,얼갈이배추",131
재첩국,131
콩나물밥,131
차조밥,130
짜사이무침,130
미나리무침,129
녹차,129
"스파게티,봉골레",129
"북어구이,양념",128
브로콜리무침,128
"전골,소고기전골",128
양장피,128
"물김치,오이",128
"된장찌개,우렁",128
"갈치조림,갈치만",127
영양돌솥밥,127
"국수,막국수",127
"북어국,달걀",127
마늘쫑조림,126
고추장아찌,126
케이크,126
순대볶음,126
"잡곡밥,현미",126
동태국,125
해독주스,124
"미역국,닭고기",124
키위,123
양념채김치,121
비름나물,121
동태조림,121
"커피,카페라떼,시럽",121
"샐러드,닭튀김",120
꼬막찜,120
깐쇼(칠리)새우,120
"지리,복",120
"콩밥,완두콩",120
산나물,120
톳나물,119
막걸리,118
오이나물,117
"샤브샤브,버섯",117
조기찜,116
멸치조림,116
"샐러드,마카로니",116
호떡,115
"된장국,호박잎",115
"삼치조림,방어조림",114
"샌드위치,햄",113
무조림,113
"냉국,미역",113
딸기,112
"국수,열무김치",112
오렌지주스,112
"달걀찜,새우젓",112
"김밥,고추,멸치",111
프렌치토스트,111
카스테라,111
"빵,크림빵",110
잡채밥,110
만두,109
양파볶음,109
와사비,109
돼지고기구이,108
배추나물,108
"파전,해물",107
탄산음료,107
"우동,볶음",107
"빵,단팥빵",107
족발,105
쑥갓나물,105
"완자전,해물",105
매생이국,104
회덮밥,104
"김치찌개,꽁치",104
"김치찌개,햄",104
"만두,밀쌈,월남쌈",103
마요네즈,103
"호박나물,건해물",103
브로콜리,103
"매운탕,조기",102
"커피,카페라떼,아이스",102
"칼국수,들깨",102
"덮밥,계란",102
"겨자소스,머스타드소스",102
"콩나물국,고추",101
골뱅이무침,101
"분유,탈지분유",101
"만두,물만두",101
파,100
춘장,100
"톳나물,두부",100
"비빔밥,열무",100
"김치국,콩나물",100
조기조림,100
"김치볶음,참치,참치볶음",99
고디국(다슬기맑은국),98
파래무침,98
사과당근주스,98
자두,97
냉이나물,97
마늘쫑볶음,97
"바나나주스, 바나나음료",97
가오리회무침,96
"매운탕,대구",96
국수,96
"취나물무침,된장",96
크래커,96
다시마무침,96
고등어구이 (기름사용안함),96
쥐포무침,95
과즙음료,95
"빵,쨈빵",95
백김치,94
참기름,94
꽈리고추찜,94
"핫도그,소세지빵",94
수수밥,94
"땅콩조림(땅콩자반),땅콩,콩",94
"콩밥,강낭콩",94
초간장,93
삼치구이,93
오렌지,92
"두부찌개,새우젓",91
"보리차, 옥수수차, 옥수수수염차",91
"떡볶이,쫄면",91
"비빔밥,육회",90
"잡곡밥,보리",90
짜장밥,90
우엉볶음,89
"덮밥,닭고기",89
